Day,Fassala-Mbera sim,Fassala-Mbera data,Fassala-Mbera error,Mentao sim,Mentao data,Mentao error,Bobo-Dioulasso sim,Bobo-Dioulasso data,Bobo-Dioulasso error,Abala sim,Abala data,Abala error,Mangaize sim,Mangaize data,Mangaize error,Niamey sim,Niamey data,Niamey error,Tabareybarey sim,Tabareybarey data,Tabareybarey error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
55,12202,30488,0.5997769614274469,3178,3502,0.09251856082238719,1915,1038,0.8448940269749519,2748,2910,0.05567010309278353,1942,1296,0.4984567901234569,58,940,0.9382978723404255,6182,465,12.294623655913979,0.6617943796446676,40639,40637,40638,28225,0
56,12271,30731,0.600696365233803,3278,3571,0.08204984598151777,1948,1041,0.8712776176753123,2847,3011,0.05446695450016603,1994,1314,0.517503805175038,61,979,0.9376915219611849,6194,484,11.797520661157025,0.6596644784828593,41131,41129,41130,28593,0
57,12348,30974,0.6013430619229031,3379,3640,0.07170329670329667,1959,1043,0.8782358581016299,2944,3113,0.054288467716029576,2067,1332,0.5518018018018018,62,1019,0.9391560353287537,6196,503,11.318091451292247,0.6572568051317781,41624,41622,41623,28955,0
58,12428,31216,0.6018708354689903,3480,3709,0.06174170935562151,1958,1046,0.8718929254302104,3045,3214,0.05258245177349097,2128,1350,0.5762962962962963,64,1058,0.9395085066162571,6198,523,10.850860420650095,0.6540425026712573,42116,42114,42115,29301,0
59,12516,31459,0.6021488286340952,3608,3778,0.04499735309687669,1957,1049,0.86558627264061,3152,3315,0.04917043740573157,2198,1368,0.6067251461988303,67,1097,0.9389243391066545,6195,542,10.42988929889299,0.6500575022883563,42608,42606,42607,29693,0
60,12594,31702,0.602737997602675,3707,3848,0.036642411642411665,1957,1051,0.8620361560418648,3266,3417,0.044190810652619206,2257,1386,0.6284271284271283,70,1136,0.9383802816901409,6190,561,10.033868092691621,0.6466821345707656,43101,43099,43100,30041,0
61,12676,31945,0.6031929879480357,3842,3917,0.019147306612203208,1956,1054,0.8557874762808348,3390,3518,0.03638430926662872,2329,1404,0.6588319088319088,76,1175,0.9353191489361702,6190,581,9.654044750430293,0.6424655334572065,43594,43592,43593,30459,0
62,12760,32188,0.6035789735305083,3930,3986,0.014049172102358232,1953,1057,0.8476821192052981,3492,3562,0.019651880965749546,2424,1414,0.7142857142857142,84,1215,0.9308641975308642,6189,600,9.315,0.6401490197860112,44022,44020,44021,30832,0
63,12835,32430,0.6042244835029293,4031,4055,0.0059186189889025576,1950,1059,0.8413597733711049,3626,3605,0.005825242718446644,2493,1423,0.7519325368938861,89,1254,0.9290271132376395,6187,620,8.979032258064516,0.6374845314433569,44446,44444,44445,31211,0
64,12910,32673,0.6048725247145961,4152,4124,0.00678952473326877,1949,1062,0.835216572504708,3720,3649,0.019457385585091913,2573,1433,0.7955338450802512,92,1293,0.9288476411446249,6187,639,8.682316118935837,0.638215368158317,44873,44871,44872,31583,0
65,12991,32748,0.6033040185660192,4255,4194,0.014544587505960882,1943,1065,0.8244131455399062,3839,3693,0.03953425399404287,2645,1442,0.8342579750346741,99,1332,0.9256756756756757,6189,658,8.405775075987842,0.638341716336886,45132,45130,45131,31961,0
66,13086,32822,0.6013040034123454,4358,4263,0.022284775979357185,1938,1068,0.8146067415730338,3954,3736,0.05835117773019283,2725,1452,0.8767217630853994,102,1371,0.925601750547046,6191,678,8.131268436578171,0.6383484985348873,45390,45388,45389,32354,0
67,13149,32897,0.6002978995045141,4475,4332,0.03301015697137588,1937,1070,0.8102803738317756,4077,3780,0.07857142857142851,2789,1462,0.9076607387140903,103,1411,0.9270021261516654,6190,697,7.880918220946915,0.6393051174202594,45649,45647,45648,32720,0
68,13215,32971,0.5991932304146068,4599,4401,0.04498977505112478,1933,1073,0.8014911463187324,4172,3823,0.09128956317028503,2842,1471,0.9320190346702923,103,1450,0.9289655172413793,6191,716,7.646648044692737,0.6395085395608225,45905,45903,45904,33055,0
69,13292,33046,0.5977728015493555,4705,4470,0.05257270693512295,1929,1076,0.7927509293680297,4286,3867,0.10835272821308517,2906,1481,0.962187711006077,105,1489,0.9294828744123573,6195,736,7.417119565217391,0.639654276059267,46165,46163,46164,33418,0
70,13360,33120,0.5966183574879227,4832,4540,0.06431718061674019,1928,1078,0.7884972170686457,4386,3910,0.12173913043478257,2962,1490,0.9879194630872483,108,1528,0.9293193717277487,6190,755,7.198675496688741,0.6399181387333046,46421,46419,46420,33766,0
71,13447,33195,0.5949088718180449,4952,4609,0.07441961379908868,1928,1081,0.7835337650323775,4479,3954,0.1327769347496206,3012,1500,1.008,113,1567,0.9278876834716018,6186,775,6.981935483870968,0.6392459297343616,46681,46679,46680,34117,0
72,13510,33269,0.5939162583786708,5069,4678,0.08358272766139385,1925,1084,0.7758302583025831,4576,3998,0.1445722861430716,3074,1510,1.0357615894039736,119,1607,0.9259489732420659,6186,794,6.790931989924434,0.6394043332836234,46940,46938,46939,34459,0
73,13611,33343,0.5917883813694029,5170,4747,0.08910891089108919,1923,1087,0.7690892364305428,4674,4041,0.15664439495174465,3118,1519,1.0526662277814354,129,1646,0.9216281895504252,6187,813,6.610086100861008,0.6380760673800191,47196,47194,47195,34812,0
74,13685,33418,0.590490155006284,5275,4816,0.09530730897009976,1920,1089,0.7630853994490359,4772,4085,0.16817625458996321,3158,1529,1.0654022236756049,134,1685,0.9204747774480713,6185,833,6.4249699879951985,0.6372908500863994,47455,47453,47454,35129,0
75,13756,33492,0.58927505075839,5376,4886,0.10028653295128942,1920,1092,0.7582417582417582,4858,4128,0.1768410852713178,3197,1538,1.0786736020806242,137,1724,0.9205336426914154,6185,852,6.259389671361502,0.6363941229485863,47712,47710,47711,35429,0
76,13840,33567,0.5876902910596717,5494,4955,0.10877901109989918,1926,1095,0.7589041095890412,4973,4172,0.1919942473633749,3244,1548,1.0956072351421189,138,1763,0.921724333522405,6187,871,6.103329506314581,0.636543673129039,47971,47969,47970,35802,0
77,13918,33641,0.5862786480782378,5572,5024,0.109076433121019,1928,1097,0.7575205104831357,5080,4216,0.20493358633776082,3277,1558,1.1033376123234917,141,1803,0.9217970049916805,6188,891,5.945005611672278,0.6353853490638413,48230,48228,48229,36104,0
78,13997,33716,0.5848558547870447,5693,5093,0.11780875711761252,1924,1100,0.749090909090909,5186,4259,0.21765672693120441,3307,1567,1.110402042118698,142,1842,0.9229098805646037,6194,910,5.806593406593406,0.6351111661098049,48487,48485,48486,36443,0
79,14079,33790,0.5833382657591003,5804,5163,0.12415262444315323,1923,1103,0.743427017225748,5310,4303,0.23402277480827327,3331,1577,1.1122384273937858,145,1881,0.9229133439659756,6198,930,5.664516129032258,0.6346572026422681,48747,48745,48746,36790,0
80,14166,33865,0.5816920124021852,5899,5173,0.14034409433597528,1922,1105,0.7393665158371041,5405,4346,0.2436723423838012,3347,1586,1.110340479192938,149,1920,0.9223958333333333,6193,949,5.52581664910432,0.6349631203645056,48944,48942,48943,37081,0
81,14232,33939,0.580659418368249,5989,5183,0.15550839282268947,1921,1108,0.733754512635379,5500,4390,0.25284738041002286,3365,1596,1.1083959899749374,151,1959,0.9229198570699336,6192,968,5.396694214876033,0.635647714785723,49143,49141,49142,37350,0
82,14297,34014,0.5796730757923207,6094,5194,0.17327685791297642,1922,1111,0.72997299729973,5589,4434,0.26048714479025703,3380,1606,1.1046077210460772,157,1999,0.9214607303651826,6185,988,5.260121457489879,0.6362549397102036,49346,49344,49345,37624,0
83,14359,34088,0.5787667214268951,6212,5204,0.1936971560338201,1925,1114,0.7280071813285458,5695,4477,0.2720571811480903,3391,1615,1.0996904024767802,162,2038,0.9205103042198234,6189,1007,5.1459781529294935,0.6378426385692948,49543,49541,49542,37933,0
84,14434,34163,0.5774961215349941,6308,5214,0.20981971614883,1924,1116,0.7240143369175627,5785,4521,0.27958416279584153,3400,1625,1.0923076923076924,166,2077,0.9200770341839191,6189,1026,5.0321637426900585,0.6381858024567258,49742,49740,49741,38206,0
85,14498,34237,0.5765400005841633,6430,5225,0.23062200956937806,1926,1119,0.7211796246648794,5894,4564,0.29141104294478537,3396,1634,1.0783353733170133,174,2116,0.9177693761814745,6186,1046,4.91395793499044,0.6392671205446536,49941,49939,49940,38504,0
86,14573,34312,0.575279785497785,6520,5235,0.24546322827125122,1925,1122,0.7156862745098038,6001,4608,0.3023003472222223,3400,1644,1.0681265206812651,181,2155,0.9160092807424594,6192,1065,4.814084507042254,0.6397487036298365,50141,50139,50140,38792,0
87,14641,34386,0.5742162507997441,6604,5245,0.2591039084842708,1925,1124,0.7126334519572954,6106,4651,0.312835949258224,3402,1654,1.0568319226118499,183,2195,0.916628701594533,6193,1085,4.707834101382488,0.6402193130574704,50340,50338,50339,39054,0
88,14720,34460,0.5728380731282647,6661,5256,0.26731354642313554,1923,1127,0.7062999112688553,6211,4695,0.32289669861554837,3405,1663,1.0475045099218279,189,2234,0.9153983885407341,6194,1104,4.6105072463768115,0.6397957972218924,50539,50537,50538,39303,0
89,14761,34535,0.5725785435065875,6707,5266,0.2736422331940751,1925,1130,0.7035398230088497,6323,4739,0.3342477315889427,3414,1673,1.0406455469216978,195,2273,0.9142102947646282,6194,1123,4.515583259127338,0.6402302022153021,50739,50737,50738,39519,0
90,14816,34609,0.5719032621572424,6748,5276,0.27899924184988634,1925,1133,0.6990291262135921,6442,4782,0.34713508992053543,3413,1682,1.0291319857312722,201,2312,0.9130622837370242,6193,1143,4.418197725284339,0.6401955395005497,50937,50935,50936,39738,0
91,14880,34684,0.5709837388997809,6773,5287,0.28106676754303006,1925,1135,0.696035242290749,6545,4826,0.3561956071280563,3419,1692,1.0206855791962175,205,2351,0.9128030625265844,6193,1162,4.32960413080895,0.6395298811013768,51137,51135,51136,39940,0
92,14950,34758,0.5698831923585936,6792,5297,0.28223522748725705,1925,1138,0.6915641476274166,6657,4869,0.3672211953173137,3421,1702,1.0099882491186838,207,2391,0.9134253450439147,6184,1181,4.236240474174428,0.6386286159540274,51336,51334,51335,40136,0
93,15018,34833,0.5688571182499353,6813,5307,0.28377614471452794,1923,1141,0.6853637160385626,6757,4913,0.37533075513942604,3418,1711,0.9976621858562245,216,2430,0.9111111111111111,6182,1201,4.147377185678601,0.6374114679344135,51536,51534,51535,40327,0
94,15097,34907,0.5675079496949036,6833,5318,0.2848815344114328,1922,1143,0.6815398075240595,6858,4957,0.3834980835182571,3419,1721,0.9866356769320164,224,2469,0.9092750101255569,6190,1220,4.073770491803279,0.6362933467352225,51735,51733,51734,40543,0
95,15166,34982,0.5664627522725973,6846,5328,0.28490990990990994,1922,1146,0.6771378708551483,6960,5000,0.3919999999999999,3418,1731,0.9745811669555171,229,2508,0.9086921850079744,6190,1240,3.991935483870968,0.6351523086995032,51935,51933,51934,40731,0
96,15224,35154,0.5669340615577174,6850,5338,0.2832521543649307,1923,1149,0.6736292428198434,7076,5044,0.4028548770816811,3416,1740,0.9632183908045977,238,2547,0.906556733411857,6192,1259,3.9181890389197775,0.6349990426957687,52231,52229,52230,40919,0
97,15298,35325,0.5669355980184005,6848,5349,0.28023929706487194,1924,1151,0.6715899218071242,7197,5087,0.41478277963436216,3414,1750,0.9508571428571428,242,2587,0.9064553536915346,6189,1278,3.842723004694836,0.6345238548528348,52527,52525,52526,41112,0
98,15358,35497,0.567343719187537,6854,5359,0.27896995708154515,1926,1154,0.6689774696707105,7323,5131,0.4272071720912103,3411,1759,0.939169982944855,249,2626,0.9051789794364051,6188,1298,3.7673343605547,0.6345152679703917,52824,52822,52823,41309,0
99,15420,35669,0.5676918332445541,6861,5369,0.2778915999254983,1926,1157,0.6646499567847883,7429,5175,0.4355555555555555,3412,1769,0.9287733182589033,257,2665,0.9035647279549719,6195,1317,3.7038724373576306,0.6342808734939759,53121,53119,53120,41500,0
100,15460,35841,0.568650428280461,6866,5380,0.27620817843866163,1925,1160,0.6594827586206897,7544,5218,0.44576466078957444,3414,1779,0.9190556492411468,261,2704,0.9034763313609467,6194,1336,3.63622754491018,0.6345171012973398,53418,53416,53417,41664,0
101,15527,36013,0.5688501374503652,6871,5390,0.27476808905380334,1924,1162,0.6557659208261617,7664,5262,0.45648042569365255,3421,1788,0.9133109619686801,267,2743,0.9026613197229311,6190,1356,3.564896755162242,0.6343715674045389,53714,53712,53713,41864,0
102,15601,36185,0.5688544977200498,6876,5400,0.27333333333333343,1923,1165,0.6506437768240343,7743,5305,0.4595664467483507,3422,1798,0.903225806451613,274,2783,0.9015450952209846,6184,1375,3.497454545454546,0.6331790409183484,54011,54009,54010,42023,0
103,15679,36357,0.5687487966553897,6876,5411,0.270744779153576,1922,1168,0.6455479452054795,7865,5349,0.4703682931389044,3418,1807,0.8915329275041506,287,2822,0.8982990786676116,6185,1395,3.4336917562724016,0.6324850850703395,54309,54307,54308,42232,0
104,15748,36529,0.5688904705850146,6879,5421,0.26895406751521866,1922,1170,0.6427350427350427,8015,5393,0.4861857964027443,3418,1817,0.8811227297743534,292,2861,0.8979377839916113,6195,1414,3.381188118811881,0.6329939198593509,54605,54603,54604,42469,0
105,15826,36701,0.5687855916732514,6880,5431,0.26680169397900944,1921,1173,0.6376811594202898,8145,5436,0.4983443708609272,3420,1827,0.8719211822660098,296,2900,0.8979310344827586,6196,1433,3.3237962316817864,0.6328051001821494,54901,54899,54900,42684,0
106,15889,36873,0.56908849293521,6879,5442,0.2640573318632855,1925,1176,0.6369047619047619,8262,5480,0.5076642335766424,3422,1836,0.863834422657952,300,2939,0.8979244641034365,6191,1453,3.260839642119752,0.6325410340954383,55199,55197,55198,42868,0
107,15950,37045,0.5694425698474828,6882,5452,0.2622890682318415,1928,1179,0.635284139100933,8400,5523,0.520912547528517,3415,1846,0.8499458288190682,304,2979,0.8979523329976502,6192,1472,3.2065217391304346,0.6327597080818091,55496,55494,55495,43071,0
